iter	Passed	Remaining
0	180	180442
1	198	98841
2	216	71944
3	289	72191
4	329	65496
5	374	61973
6	408	57893
7	443	55033
8	475	52358
9	499	49412
10	527	47407
11	545	44934
12	571	43401
13	602	42458
14	630	41400
15	673	41420
16	690	39905
17	710	38753
18	735	37977
19	772	37868
20	802	37404
21	839	37300
22	888	37724
23	911	37052
24	929	36231
25	946	35454
26	967	34876
27	991	34428
28	1009	33788
29	1025	33166
30	1045	32682
31	1061	32108
32	1078	31608
33	1094	31088
34	1109	30584
35	1124	30121
36	1141	29698
37	1156	29284
38	1173	28917
39	1189	28539
40	1204	28183
41	1219	27822
42	1239	27585
43	1283	27894
44	1318	27975
45	1347	27939
46	1371	27814
47	1402	27814
48	1448	28121
49	1484	28196
50	1506	28024
51	1525	27803
52	1541	27542
53	1558	27300
54	1573	27039
55	1590	26807
56	1611	26653
57	1636	26572
58	1670	26640
59	1765	27665
60	1873	28842
61	1946	29442
62	1971	29319
63	1989	29091
64	2005	28851
65	2020	28594
66	2037	28376
67	2054	28162
68	2076	28011
69	2091	27780
70	2104	27538
71	2121	27349
72	2136	27134
73	2151	26928
74	2166	26726
75	2182	26532
76	2202	26400
77	2217	26207
78	2232	26021
79	2249	25873
80	2272	25786
81	2289	25630
82	2305	25475
83	2321	25312
84	2346	25256
85	2370	25197
86	2396	25152
87	2424	25127
88	2459	25175
89	2500	25280
90	2522	25197
91	2574	25410
92	2641	25756
93	2685	25883
94	2722	25937
95	2750	25900
96	2774	25824
97	2797	25748
98	2821	25681
99	2842	25586
100	2859	25451
101	2880	25359
102	2899	25253
103	2917	25133
104	2932	24997
105	2951	24894
106	2970	24794
107	2987	24672
108	3007	24588
109	3027	24494
110	3040	24351
111	3055	24227
112	3071	24109
113	3086	23988
114	3102	23872
115	3118	23765
116	3135	23662
117	3151	23558
118	3170	23470
119	3187	23374
120	3205	23289
121	3225	23215
122	3244	23135
123	3262	23049
124	3280	22965
125	3299	22885
126	3318	22814
127	3335	22721
128	3351	22632
129	3369	22549
130	3385	22454
131	3401	22365
132	3417	22277
133	3432	22181
134	3448	22092
135	3463	22001
136	3480	21922
137	3497	21848
138	3517	21786
139	3539	21742
140	3555	21661
141	3574	21597
142	3592	21529
143	3608	21453
144	3624	21373
145	3642	21306
146	3663	21258
147	3679	21180
148	3697	21115
149	3715	21053
150	3732	20985
151	3748	20911
152	3764	20840
153	3783	20782
154	3804	20738
155	3822	20678
156	3837	20604
157	3851	20526
158	3865	20444
159	3886	20405
160	3903	20341
161	3918	20269
162	3931	20189
163	3948	20130
164	3965	20067
165	3982	20009
166	3999	19951
167	4019	19903
168	4038	19856
169	4055	19800
170	4071	19739
171	4089	19684
172	4108	19637
173	4125	19582
174	4141	19525
175	4158	19470
176	4174	19412
177	4189	19348
178	4204	19286
179	4219	19221
180	4239	19183
181	4257	19137
182	4274	19084
183	4289	19024
184	4306	18973
185	4322	18915
186	4337	18856
187	4352	18799
188	4367	18740
189	4384	18692
190	4399	18633
191	4414	18576
192	4430	18527
193	4446	18472
194	4461	18418
195	4474	18355
196	4491	18308
197	4508	18260
198	4522	18203
199	4537	18150
200	4552	18096
201	4567	18042
202	4582	17989
203	4597	17937
204	4612	17887
205	4627	17834
206	4642	17785
207	4657	17732
208	4670	17674
209	4684	17623
210	4699	17573
211	4718	17537
212	4734	17492
213	4749	17443
214	4764	17396
215	4779	17346
216	4796	17308
217	4812	17262
218	4827	17214
219	4842	17167
220	4858	17124
221	4873	17078
222	4889	17035
223	4902	16983
224	4917	16937
225	4933	16897
226	4956	16876
227	4974	16843
228	4991	16806
229	5021	16811
230	5050	16813
231	5073	16793
232	5093	16765
233	5122	16766
234	5143	16744
235	5158	16698
236	5173	16654
237	5188	16611
238	5203	16568
239	5221	16535
240	5244	16515
241	5265	16493
242	5279	16445
243	5294	16405
244	5309	16363
245	5326	16325
246	5341	16284
247	5412	16411
248	5486	16548
249	5529	16588
250	5544	16545
251	5560	16503
252	5575	16462
253	5592	16423
254	5607	16381
255	5622	16339
256	5636	16295
257	5651	16253
258	5666	16212
259	5681	16171
260	5696	16130
261	5710	16086
262	5725	16045
263	5741	16006
264	5756	15965
265	5771	15926
266	5786	15886
267	5801	15844
268	5818	15812
269	5834	15775
270	5849	15736
271	5865	15698
272	5880	15659
273	5895	15620
274	5908	15577
275	5927	15548
276	5945	15519
277	5960	15480
278	5974	15438
279	5990	15402
280	6005	15366
281	6020	15328
282	6035	15291
283	6050	15254
284	6065	15216
285	6081	15182
286	6096	15145
287	6111	15109
288	6126	15073
289	6141	15035
290	6154	14995
291	6170	14961
292	6185	14926
293	6201	14891
294	6217	14858
295	6232	14823
296	6247	14787
297	6261	14751
298	6276	14716
299	6291	14680
300	6306	14644
301	6319	14606
302	6334	14572
303	6351	14542
304	6366	14507
305	6381	14474
306	6396	14440
307	6412	14406
308	6426	14371
309	6442	14339
310	6460	14313
311	6478	14286
312	6497	14260
313	6513	14230
314	6532	14205
315	6560	14200
316	6576	14169
317	6591	14136
318	6607	14106
319	6625	14078
320	6642	14050
321	6658	14020
322	6675	13990
323	6689	13957
324	6706	13929
325	6725	13904
326	6744	13881
327	6766	13863
328	6788	13844
329	6804	13814
330	6821	13787
331	6838	13758
332	6857	13734
333	6877	13713
334	6895	13688
335	6913	13663
336	6935	13644
337	6955	13623
338	6973	13597
339	6989	13568
